company,Bio-Path Holdings
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222460-bio-path-holdings-bpth-ceo-peter-nielsen-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Bio-Path Holdings (BPTH) CEO, Peter Nielsen on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,BPTH
year,18
