company,ASML Holding's
symbol,ASML
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255037-asml-holdings-asml-ceo-peter-wennink-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">ASML Holding's (ASML) CEO Peter Wennink on Q1 2019 Results - Earnings Call Transcript</a>"
