company,"Hibbett Sports, Inc."
symbol,HIBB
month,5
day,24
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266387-hibbett-sports-inc-hibb-ceo-jeffry-rosenthal-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Hibbett Sports, Inc. (HIBB) CEO Jeffry Rosenthal on Q1 2020 Results - Earnings Call Transcript</a>"
