company,Dell Technologies Inc.
symbol,DELL
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267459-dell-technologies-inc-dell-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Dell Technologies Inc. (DELL) on Q1 2020 Results - Earnings Call Transcript</a>"
