company,Ascena Retail Group's
symbol,ASNA
month,6
day,10
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269543-ascena-retail-groups-asna-ceo-gary-muto-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Ascena Retail Group's (ASNA) CEO Gary Muto on Q3 2019 Results - Earnings Call Transcript</a>"
