company,ABB's
symbol,ABB
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255022-abbs-abb-ceo-peter-voser-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">ABB's (ABB) CEO Peter Voser on Q1 2019 Results - Earnings Call Transcript</a>"
