company,Sunlands Technology Group's
symbol,STG
month,5
day,28
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266758-sunlands-technology-groups-stg-ceo-tongbo-liu-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Sunlands Technology Group's (STG) CEO Tongbo Liu on Q1 2019 Results - Earnings Call Transcript</a>"
