company,"Seadrill Partners, LLC"
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223675-seadrill-partners-llc-sdlp-ceo-mark-morris-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Seadrill Partners, LLC (SDLP) CEO Mark Morris on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SDLP
year,18
