company,"Badger Meter, Inc."
symbol,BMI
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255065-badger-meter-inc-bmi-ceo-ken-bockhorst-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Badger Meter, Inc. (BMI) CEO Ken Bockhorst on Q1 2019 Results - Earnings Call Transcript</a>"
