company,Flybe Group Plc
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222375-flybe-group-plc-flybf-ceo-christine-ourmieres-widener-h1-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Flybe Group Plc (FLYBF) CEO Christine Ourmières-Widener on H1 2019 Results - Earnings Call Transcript</a>"
month,11
symbol,FLYBF
year,18
