company,AMERCO
symbol,UHAL
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267406-amerco-uhal-ceo-joe-shoen-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">AMERCO (UHAL) CEO Joe Shoen on Q4 2019 Results - Earnings Call Transcript</a>"
