company,Gazit-Globe
day,25
link,"<a class=""dashboard-article-link"" href=""/article/4223691-gazit-globe-gzt-ceo-chaim-katzman-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Gazit-Globe (GZT) CEO Chaim Katzman on Q3 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q3
symbol,GZT
year,18
