company,E*TRADE Financial Corporation's
symbol,ETFC
link,"<a class=""dashboard-article-link"" href=""/article/4255085-e-trade-financial-corporations-etfc-ceo-karl-roessner-q1-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">E*TRADE Financial Corporation's (ETFC) CEO Karl Roessner on Q1 2019 Results - Earnings Call Transcript</a>"
