company,BlackBerry Limited's
symbol,BB
month,6
day,26
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272251-blackberry-limiteds-bb-ceo-john-chen-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">BlackBerry Limited's (BB) CEO John Chen on Q1 2020 Results - Earnings Call Transcript</a>"
