company,"Instructure, Inc."
symbol,INST
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215670-instructure-inc-inst-ceo-josh-coates-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Instructure, Inc. (INST) CEO Josh Coates on Q3 2018 Results - Earnings Call Transcript</a>"
