company,KLA-Tencor's
symbol,KLAC
month,10
day,29
year,18
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4215671-kla-tencors-klac-ceo-rick-wallace-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">KLA-Tencor's (KLAC) CEO Rick Wallace on Q1 2019 Results - Earnings Call Transcript</a>"
