company,"Caleres, Inc."
symbol,CAL
month,6
day,3
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268081-caleres-inc-cal-ceo-diane-sullivan-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Caleres, Inc. (CAL) CEO Diane Sullivan on Q1 2019 Results - Earnings Call Transcript</a>"
