company,"Cloudera, Inc."
symbol,CLDR
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268592-cloudera-inc-cldr-ceo-tom-reilly-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cloudera, Inc. (CLDR) CEO Tom Reilly on Q1 2020 Results - Earnings Call Transcript</a>"
