company,UniFirst Corporation
symbol,UNF
month,6
day,26
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272280-unifirst-corporation-unf-ceo-steven-sintros-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">UniFirst Corporation (UNF) CEO Steven Sintros on Q3 2019 Results - Earnings Call Transcript</a>"
