type,name
Executives,"Christine Silverstein – Senior Vice President, Finance and Investor Relations"
Executives,Carsten Thiel – Chief Executive Officer
Executives,Tim Miller – President and Chief Scientific Officer
Executives,Juan Ruiz – Chief Medical Officer
Analysts,Maury Raycroft – Jefferies
Analysts,Liav Abraham – Citi
Analysts,Kennen MacKay – RBC
Analysts,Elemer Piros – Cantor Fitzgerald
