company,SG Blocks
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222318-sg-blocks-sgbx-ceo-paul-galvin-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">SG Blocks (SGBX) CEO Paul Galvin on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SGBX
year,18
