company,"Lowe's Companies, Inc."
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223638-lowes-companies-inc-low-ceo-marvin-ellison-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Lowe's Companies, Inc. (LOW) CEO Marvin Ellison on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,LOW
year,18
