company,"Copa Holdings, S.A."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222623-copa-holdings-s-cpa-ceo-pedro-heilbron-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Copa Holdings, S.A. (CPA) CEO Pedro Heilbron on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,CPA
year,18
