company,CooTek
symbol,Cayman
month,6
day,3
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4268096-cootek-cayman-inc-ctk-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">CooTek (Cayman) Inc (CTK) Q1 2019 Results - Earnings Call Transcript</a>"
