company,"SuperCom, Ltd."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222986-supercom-ltd-spcb-ceo-arie-trabelsi-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">SuperCom, Ltd. (SPCB) CEO Arie Trabelsi on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SPCB
year,18
