company,"Yext, Inc."
symbol,YEXT
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267435-yext-inc-yext-ceo-howard-lerman-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Yext, Inc. (YEXT) CEO Howard Lerman on Q1 2020 Results - Earnings Call Transcript</a>"
