company,"MAXIMUS, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223594-maximus-inc-mms-ceo-bruce-caswell-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">MAXIMUS, Inc. (MMS) CEO Bruce Caswell on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,MMS
year,18
