company,"Walgreens Boots Alliance, Inc"
symbol,WBA
month,6
day,27
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272518-walgreens-boots-alliance-inc-wba-ceo-stefano-pessina-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Walgreens Boots Alliance, Inc (WBA) CEO Stefano Pessina on Q3 2019 Results - Earnings Call Transcript</a>"
