company,Koninklijke Vopak N.V.
symbol,VOPKF
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4254976-koninklijke-vopak-n-v-vopkf-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Koninklijke Vopak N.V. (VOPKF) Q1 2019 Results - Earnings Call Transcript</a>"
