company,"American Eagle Outfitters, Inc."
symbol,AEO
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268519-american-eagle-outfitters-inc-aeo-ceo-jay-schottenstein-q1-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">American Eagle Outfitters, Inc. (AEO) CEO Jay Schottenstein on Q1 2019 Results - Earnings Call Transcript</a>"
