company,JD.com
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223239-jd-com-jd-ceo-richard-liu-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">JD.com (JD) CEO Richard Liu on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,JD
year,18
