company,"LiveRamp Holdings, Inc."
symbol,RAMP
month,5
day,28
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266929-liveramp-holdings-inc-ramp-ceo-scott-howe-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">LiveRamp Holdings, Inc. (RAMP) CEO Scott Howe on Q4 2019 Results - Earnings Call Transcript</a>"
