company,Canopy Growth Corp
symbol,CGC
month,6
day,20
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271553-canopy-growth-corp-cgc-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Canopy Growth Corp (CGC) on Q4 2019 Results - Earnings Call Transcript</a>"
