company,"Nuance Communications, Inc"
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223399-nuance-communications-inc-nuan-ceo-mark-benjamin-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Nuance Communications, Inc (NUAN) CEO Mark Benjamin On Q4 2018 Results -Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,NUAN
year,18
