company,"Jaguar Animal Health, Inc."
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222503-jaguar-animal-health-inc-jagx-ceo-lisa-conte-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Jaguar Animal Health, Inc. (JAGX) CEO Lisa Conte on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,JAGX
year,18
