company,Black Box Corporation
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4222926-black-box-corporation-bbox-ceo-joel-trammell-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Black Box Corporation (BBOX) CEO Joel Trammell on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q2
symbol,BBOX
year,18
