company,FedEx Corp.
symbol,FDX
month,6
day,25
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272121-fedex-corp-fdx-ceo-fred-smith-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">FedEx Corp. (FDX) CEO Fred Smith on Q4 2019 Results - Earnings Call Transcript</a>"
