company,"United Natural Foods, Inc."
symbol,UNFI
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268588-united-natural-foods-inc-unfi-ceo-steve-spinner-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">United Natural Foods, Inc. (UNFI) CEO Steve Spinner on Q3 2019 Results - Earnings Call Transcript</a>"
