company,"Domo, Inc."
symbol,DOMO
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268916-domo-inc-domo-ceo-josh-james-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Domo, Inc. (DOMO) CEO Josh James on Q1 2020 Results - Earnings Call Transcript</a>"
