company,Capri Holdings Limited
symbol,CPRI
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267086-capri-holdings-limited-cpri-ceo-john-idol-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Capri Holdings Limited (CPRI) CEO John Idol on Q4 2019 Results - Earnings Call Transcript</a>"
