company,Telefonaktiebolaget LM
symbol,ERIC
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4254975-telefonaktiebolaget-lm-eric-ceo-borje-ekholm-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Telefonaktiebolaget LM (ERIC) CEO Börje Ekholm on Q1 2019 Results - Earnings Call Transcript</a>"
