company,easyJet Plc
day,20
link,"<a class=""dashboard-article-link"" href=""/article/4223749-easyjet-plc-ejttf-ceo-johan-lundgren-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">easyJet Plc (EJTTF) CEO Johan Lundgren on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,EJTTF
year,18
