company,The Cooper Companies Inc.
symbol,COO
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267456-cooper-companies-inc-coo-ceo-albert-white-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">The Cooper Companies Inc. (COO) CEO Albert White on Q2 2019 Results - Earnings Call Transcript</a>"
