company,"Cango, Inc."
symbol,CANG
month,5
day,28
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266941-cango-inc-cang-ceo-lin-jiayuan-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cango, Inc. (CANG) CEO Lin Jiayuan on Q1 2019 Results - Earnings Call Transcript</a>"
