company,Celcuity
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222773-celcuity-celc-ceo-brian-sullivan-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Celcuity (CELC) CEO Brian Sullivan on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,CELC
year,18
