company,RXI Pharmaceuticals Corporation
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222332-rxi-pharmaceuticals-corporation-rxii-ceo-dr-geert-cauwenbergh-q3-2018-results-earnings-call"" sasource=""earnings-center-transcripts_article"">RXI Pharmaceuticals Corporation (RXII) CEO Dr. Geert Cauwenbergh on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,RXII
year,18
