company,Greek Organization of Football Prognostics S.A.
symbol,GOFPY
month,6
day,5
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4268774-greek-organization-football-prognostics-s-gofpy-ceo-damian-cope-q1-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Greek Organization of Football Prognostics S.A. (GOFPY) CEO Damian Cope on Q1 2019 Results - Earnings Call Transcript</a>"
