company,"Cavco Industries, Inc."
symbol,CVCO
month,5
day,23
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266457-cavco-industries-inc-cvco-ceo-bill-boor-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cavco Industries, Inc. (CVCO) CEO Bill Boor on Q4 2019 Results - Earnings Call Transcript</a>"
