company,Piraeus Bank S.A
symbol,BPIRY
month,6
day,3
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4268279-piraeus-bank-s-bpiry-ceo-christos-megalou-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Piraeus Bank S.A (BPIRY) CEO Christos Megalou on Q1 2019 Results - Earnings Call Transcript</a>"
