company,Vivendi SA
day,15
link,"<a class=""dashboard-article-link"" href=""/article/4222956-vivendi-sa-vivef-ceo-arnaud-de-puyfontaine-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Vivendi SA (VIVEF) CEO Arnaud de Puyfontaine on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,VIVEF
year,18
