company,Carnival Corp
symbol,CCL
month,6
day,20
year,19
quarter,Q2
link,"<a class=""dashboard-article-link"" href=""/article/4271371-carnival-corp-ccl-ceo-arnold-donald-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Carnival Corp (CCL) CEO Arnold Donald on Q2 2019 Results - Earnings Call Transcript</a>"
