company,"Daktronics, Inc."
symbol,DAKT
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267147-daktronics-inc-dakt-ceo-reece-kurtenbach-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Daktronics, Inc. (DAKT) CEO Reece Kurtenbach on Q4 2019 Results - Earnings Call Transcript</a>"
