company,Comtech Telecommunications'
symbol,CMTL
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268822-comtech-telecommunications-cmtl-ceo-fred-kornberg-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Comtech Telecommunications' (CMTL) CEO Fred Kornberg on Q3 2019 Results - Earnings Call Transcript</a>"
