company,"Energizer Holdings, Inc."
day,19
link,"<a class=""dashboard-article-link"" href=""/article/4222660-energizer-holdings-inc-enr-alan-hoskins-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Energizer Holdings, Inc. (ENR) Alan Hoskins on Q4 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q4
symbol,ENR
year,18
