company,Cytori Therapeutics Inc
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222357-cytori-therapeutics-inc-cytx-ceo-marc-hedrick-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cytori Therapeutics Inc (CYTX) CEO Marc Hedrick on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,CYTX
year,18
