company,"Zoom Video Communications, Inc."
symbol,ZM
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268921-zoom-video-communications-inc-zm-ceo-eric-yuan-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Zoom Video Communications, Inc. (ZM) CEO on Eric Yuan on Q1 2020 Results - Earnings Call Transcript</a>"
