company,Tsakos Energy Navigation Ltd
symbol,TNP
month,6
day,6
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4268723-tsakos-energy-navigation-ltd-tnp-ceo-nikolas-tsakos-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Tsakos Energy Navigation Ltd (TNP) CEO Nikolas Tsakos on Q1 2019 Results - Earnings Call Transcript</a>"
