company,Orchard Therapeutics plc
symbol,ORTX
month,5
day,28
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266838-orchard-therapeutics-plc-ortx-ceo-mark-rothera-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Orchard Therapeutics plc (ORTX) CEO Mark Rothera on Q1 2019 Results - Earnings Call Transcript</a>"
