company,Gladstone Capital
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222521-gladstone-capital-glad-ceo-david-gladstone-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Gladstone Capital (GLAD) CEO David Gladstone on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,GLAD
year,18
