company,Covalon Technologies Ltd.
symbol,CVALF
month,5
day,28
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267708-covalon-technologies-ltd-cvalf-ceo-brian-pedlar-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Covalon Technologies Ltd. (CVALF) CEO Brian Pedlar on Q2 2019 Results - Earnings Call Transcript</a>"
