company,"NetApp, Inc."
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222344-netapp-inc-ntap-ceo-george-kurian-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">NetApp, Inc. (NTAP) CEO George Kurian on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,NTAP
year,18
