company,Best Buy Co.
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223678-best-buy-co-bby-ceo-hubert-joly-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Best Buy Co. (BBY) CEO Hubert Joly on Q3 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,BBY
year,18
