company,The Michaels Companies
symbol,MIK
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268751-michaels-companies-mik-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">The Michaels Companies (MIK) on Q1 2019 Results - Earnings Call Transcript</a>"
