company,"Digital Turbine, Inc.'s"
symbol,APPS
month,6
day,3
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268088-digital-turbine-inc-s-apps-ceo-bill-stone-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Digital Turbine, Inc.'s (APPS) CEO Bill Stone on Q4 2019 Results - Earnings Call Transcript</a>"
